taskname:Dinner with Gabby;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:111115;taskEndDate:111115;taskPriority:high;taskDescription:YellowCats;taskStartTime:2000;taskEndTime:2100;
taskname:Water plants while mom is overseas;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:111115;taskEndDate:151115;taskPriority:medium;taskDescription:;taskStartTime:0000;taskEndTime:2359;
taskname:Finish QX's birthday card;tasktype:deadline;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:111115;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:1158;
taskname:Throw strawberries away;tasktype:deadline;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:111115;taskPriority:low;taskDescription:They are rotting;taskStartTime:-1;taskEndTime:2000;
taskname:Client signing;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:121115;taskEndDate:121115;taskPriority:high;taskDescription:Mr. Qwek 97882311;taskStartTime:1400;taskEndTime:1500;
taskname:Lunch with boss;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:121115;taskEndDate:121115;taskPriority:low;taskDescription:;taskStartTime:1158;taskEndTime:1258;
taskname:Watch SuperYellow me;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:121115;taskEndDate:121115;taskPriority:low;taskDescription:;taskStartTime:0900;taskEndTime:1000;
taskname:Attend meeting with team;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:131115;taskEndDate:131115;taskPriority:low;taskDescription:;taskStartTime:1153;taskEndTime:1253;
taskname:LM2135 presentation;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:131115;taskEndDate:131115;taskPriority:low;taskDescription:;taskStartTime:1630;taskEndTime:1730;
taskname:CL3021 Exam;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:151115;taskEndDate:151115;taskPriority:high;taskDescription:;taskStartTime:0800;taskEndTime:0900;
taskname:Lunch with JC mates;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:151115;taskEndDate:151115;taskPriority:low;taskDescription:;taskStartTime:1300;taskEndTime:1400;
taskname:Movie with Coco;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:161115;taskEndDate:161115;taskPriority:high;taskDescription:FINALLY;taskStartTime:1845;taskEndTime:1945;
taskname:Attend cousin's wedding;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:191115;taskEndDate:191115;taskPriority:low;taskDescription:;taskStartTime:1800;taskEndTime:1900;
taskname:Japan trip;tasktype:event;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:291115;taskEndDate:031215;taskPriority:low;taskDescription:;taskStartTime:0000;taskEndTime:2359;
taskname:Knit sweater for grandma;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:high;taskDescription:in yellow;taskStartTime:-1;taskEndTime:-1;
taskname:Pass CS2103T;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:high;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Clean pipes;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:medium;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Paint room yellow;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a car;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a bungalow;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a condo;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a credit card;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a dog;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a kitty cat;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get a 4.0 CAP;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get more cats;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:Maine Cooon;taskStartTime:-1;taskEndTime:-1;
taskname:Get more cats;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:Siamese;taskStartTime:-1;taskEndTime:-1;
taskname:Travel to Belgium;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Have babies;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:about 4;taskStartTime:-1;taskEndTime:-1;
taskname:Learn how to drive;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Learn how to fly a plane;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Learn how to code;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Learn how to play dota;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Make cat eat cat treats;tasktype:floating;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Get dog treats for Andie;tasktype:overdue;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:091115;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:1218;
taskname:Paint yellow cats;tasktype:overdue;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:081115;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:1217;
taskname:LM2134 deadline;tasktype:overdue;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:101115;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:1400;
taskname:Company getaway;tasktype:done;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:061115;taskEndDate:081115;taskPriority:low;taskDescription:;taskStartTime:0000;taskEndTime:2359;
taskname:MK1211 Assignment 5;tasktype:done;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:081115;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:1209;
taskname:Try walking cat;tasktype:done;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
taskname:Walk cat again;tasktype:done;taskIsDone:false;taskIsOverdue:false;taskIsNewest:false;taskStartDate:-1;taskEndDate:-1;taskPriority:low;taskDescription:;taskStartTime:-1;taskEndTime:-1;
